,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[4, 60]",-0.029,2.042,-3.828,3.515,0.021,0.022,11684.0,5125.0,1.0
"beta[4, 61]",-0.059,2.046,-3.661,3.426,0.021,0.021,10594.0,5216.0,1.0
"beta[4, 62]",-0.055,1.974,-3.746,3.484,0.023,0.019,8820.0,5168.0,1.0
"beta[4, 63]",-0.023,2.086,-3.793,3.641,0.023,0.022,9697.0,6026.0,1.0
"beta[4, 64]",-0.013,2.009,-3.552,3.477,0.021,0.018,10725.0,6130.0,1.0
"beta[4, 65]",0.019,2.131,-3.447,3.802,0.023,0.02,10813.0,5335.0,1.0
"beta[4, 66]",-0.02,2.003,-3.95,3.39,0.019,0.018,12343.0,6014.0,1.0
"beta[4, 67]",0.002,2.105,-3.527,4.2,0.025,0.021,8817.0,5170.0,1.0
"beta[4, 68]",-0.027,2.068,-3.633,3.88,0.022,0.019,8947.0,5629.0,1.0
"beta[4, 69]",-0.006,2.17,-4.0,3.909,0.022,0.023,12413.0,5197.0,1.0
"beta[4, 70]",-0.069,2.286,-4.152,3.923,0.024,0.025,9390.0,5613.0,1.0
"beta[4, 71]",-0.037,2.19,-4.014,4.136,0.021,0.024,13671.0,4811.0,1.0
"beta[4, 72]",-0.104,2.211,-3.753,4.21,0.025,0.021,9784.0,5378.0,1.0
"beta[4, 73]",0.026,2.228,-3.891,3.953,0.024,0.024,9821.0,5287.0,1.0
"beta[4, 74]",-0.018,2.116,-3.989,3.837,0.021,0.022,13788.0,5261.0,1.0
